#Cluster Image_ID z mu bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err Av total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
"Abell 383" 4.3 2.55 5.799676545851162 35.502369427340064 10.837493662780751 2729648752.3433914 985712864.5355487 2.16327305528685 0.36111344497687425 0.3230715617887946 0.17452357912401154 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004255744032491496 0.00393374682132525 0.0007034236080591086 0.003289350518891867 0.004804736994962781 0.0006938624663538932 0.12359509666610351 0.11562330334266152 0.0561365953866535 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0014078391780353086 0.0017264282636233908 0.00025174658135394167 0.0015230779846205351 0.0397551320465946 0.0011772177369632124 0.0017195557540699575 0.00024832476737080006 0.0 0.0 0.0 5.6557629188858946e-05 0.0 0.0 0.0 0.0
"Abell 383" 4.1 2.55 52.740198695497114 1e-20 1e+20 1e-20 1e+20 2.16327305528685 0.36111344497687425 0.3230715617887946 0.17452357912401154 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0024344317891801023 0.0 0.0 0.0 0.0 0.0 0.0 0.09592209616086957 0.011962973112652143 0.020806700974775903 0.022298779944070906 0.026854050738274012 0.019645676453307885 0.002627617569841579 0.14641900679185899 0.11562330334266152 0.0561365953866535 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.007446460112571894 0.03432932802956736 0.007980456662199452 0.004281399642313728 0.047096584784969024 0.00961073155835523 0.0070309438421496655 0.0009403917251773332 0.0008320399990309007 0.001677808655911543 0.00017869675943896443 0.0008712529312976257 0.006684664757348719 0.0004052169078084015 0.0002783649671116943 2.1389393822122474e-05
"Abell 383" 4.2 2.55 9.150158241573305 1e-20 1e+20 1e-20 1e+20 2.16327305528685 0.36111344497687425 0.3230715617887946 0.17452357912401154 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.007114549354859239 0.007019842615966643 0.0 0.00845629831088697 0.00692071449621122 0.0009802538737940243 0.14641900679185899 0.11562330334266152 0.0561365953866535 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0025123145711421924 0.0022007174170112186 0.00016520005829246087 0.002546208937885408 0.047096584784969024 0.0030264042410359637 0.0024768378470479756 0.0003508206985937089 1.4004550169661985e-05 0.0 0.0 0.0001304860554512028 0.0 0.0 4.545817944676852e-06 8.835571159496035e-07
"Abell 383" 6.2 1.83 13.061683532690646 16.83731375430241 5.076241286227341 1130701614.6540966 336977257.3622711 2.9363209354756155 0.3014875983367725 0.15321955516415195 0.08269299807342458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04598505108679195 0.007028668687492937 0.011541292761756347 0.009913403030177705 0.01179075075517501 0.009705568136612457 0.0014065667677763043 0.08702699763607959 0.054343055675922854 0.026330918766673053 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004093401227097356 0.016309720967355765 0.00351603039331139 0.00249288893576823 0.02771094117579817 0.004181877594298858 0.0034423166745872003 0.0004988732416777973 0.0024885560833446192 0.002397985075644658 0.0005693828771524157 0.00043907403222444714 0.022665746732912495 0.0016057362186836072 0.0014474447791975533 0.00017607735434570877
"Abell 383" 6.1 1.83 27.933310779799147 1e-20 1e+20 1e-20 1e+20 2.9363209354756155 0.3014875983367725 0.15321955516415195 0.08269299807342458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0003905538880189888 0.0 0.0 0.0 0.0 0.0 0.07316214175755173 0.06492512743145384 0.007368004036171334 0.012439643044293559 0.015544745647010055 0.016690943911892162 0.011933868584448438 0.0016472859443806684 0.0870043332368076 0.054343055675922854 0.026330918766673053 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0044120230855676955 0.023027281413223726 0.005513323526220293 0.002613242501122747 0.0277037244286729 0.005919850722160798 0.004232637826281589 0.0005842501741617644 0.0012187897113814735 0.014525450096349417 0.0021000122022234082 0.00013851947069240482 0.023296124899273876 0.0029107934493692 0.0018575050309143724 0.00018190059439354985
"Abell 383" 6.3 1.83 4.971546037963752 1e-20 1e+20 1e-20 1e+20 2.9363209354756155 0.3014875983367725 0.15321955516415195 0.08269299807342458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.005154089835828778 0.005967491847257839 0.003010217821125927 0.004987332928494113 0.006791881417297651 0.0007958428986277059 0.08702699763607959 0.054343055675922854 0.026330918766673053 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0021165166636446515 0.0006122206173396061 0.001067647236508715 0.001828023783302841 0.02771094117579817 0.0017688793752021663 0.0024089065498789975 0.0002822651123290294 0.000775572499536309 0.0 0.0 0.0007604833279552229 0.009096186256803999 0.00044376574727539905 0.000737665658397516 7.035263797746354e-05
"Abell 383" 6.4 1.83 2.926328214318985 1e-20 1e+20 1e-20 1e+20 2.9363209354756155 0.3014875983367725 0.15321955516415195 0.08269299807342458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001490184617811138 0.0017941760623416973 0.00020084958337832835 0.00014679439742625513 0.002975128096998556 0.0005251339212072651 0.08702500372740639 0.054343055675922854 0.026330918766673053 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0006363483404176777 0.007595601476344922 7.123620793912922e-05 0.0005285303534940773 0.027710306279875602 5.206421663150038e-05 0.0010552018092271677 0.00018625156486656378 0.0 0.0 0.0 0.00046225686307114426 0.0 0.0 0.00017039473605824393 1.7125880234950057e-07
"MACS J2129.4 - 0741" 12.1 3.897 4.4067938017762485 0.9777717915360108 0.276296671546687 1874587099.879793 235323933.66617152 0.13697934137635262 0.28257787137900997 0.008897723302977698 0.005645083931239716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00013541010059372829 0.0001331542240444908 8.159599464550448e-05 0.0 0.0 0.0 4.955610179244732e-06 0.0 0.0012546953775480465 0.0002185247800941788 0.0003111596548229263 0.00016775894523322928 0.0002550430834328847 0.00018181906511935978 2.908157402752446e-05 0.0033976540618757835 0.0030140756330401058 0.0014524408399091797 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00010540434914098645 0.0004250240916224074 5.682781222054522e-05 7.402457825103293e-05 0.0008741927630237995 8.639503803104487e-05 6.159063337190944e-05 9.851291241825794e-06 2.7640385168235254e-05 4.5869743390478296e-05 0.0 4.5105572342820764e-05 0.0 0.0 0.0 1.6786972778877493e-06
"MACS J2129.4 - 0741" 12.2 3.897 7.240226569812949 1.6148453052639955 0.996524424338973 125534012.9837234 65205026.453231074 0.6236632375240367 0.28257787137900997 0.008897723302977698 0.005645083931239716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.345930479881351e-05 1.5358073826821017e-05 0.0 0.0 0.0 3.1208258196740764e-06 0.0 0.0007616111558410356 0.00019556611028427823 0.00026274137159060267 7.877987378282154e-05 0.00018308055713150295 0.00012397268770535113 2.1766720240503612e-05 0.00336226034525915 0.0030140756330401058 0.0014524408399091797 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.900280880140966e-05 0.0002579933707203223 2.668643313096883e-05 6.624740145144907e-05 0.0008650862058642707 6.201795980200904e-05 4.1995355941237246e-05 7.3734076520616265e-06 5.202498944461531e-06 0.0 0.0 2.488410721201822e-05 0.0 0.0 0.0 1.05716987792755e-06
"MACS J2129.4 - 0741" 12.3 3.897 3.7057012857650364 1e-20 1e+20 1e-20 1e+20 0.13697934137635262 0.28257787137900997 0.008897723302977698 0.005645083931239716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.352656159123998e-05 0.0001153298994955978 6.51880424466951e-05 0.0 0.0 0.0 5.605476465625884e-06 0.0 0.0011061375403856415 0.0002035346057931235 0.0002833268048917307 0.00014176152647881203 0.00022818026276057193 0.00015665334740598533 2.588965661025305e-05 0.0033554087321901764 0.0030140756330401058 0.0014524408399091797 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.597605923815207e-05 0.00037470059404426896 4.802126882495484e-05 6.894670410757487e-05 0.0008633233334673588 7.729534247228909e-05 5.3065826074017466e-05 8.770039310013705e-06 2.208224324512469e-05 2.1519421859173745e-05 0.0 3.906763876488653e-05 0.0 0.0 0.0 1.8988374274314179e-06
