#z IIP_integral_wide IIP_integral_deep IIP_yield_wide IIP_yield_wide_err IIP_yield_deep IIP_yield_deep_err IIn_integral_wide IIn_integral_deep IIn_yield_wide IIn_yield_wide_err IIn_yield_deep IIn_yield_deep_err IIL_integral_wide IIL_integral_deep IIL_yield_wide IIL_yield_wide_err IIL_yield_deep IIL_yield_deep_err IIb_integral_wide IIb_integral_deep IIb_yield_wide IIb_yield_wide_err IIb_yield_deep IIb_yield_deep_err Ib_integral_wide Ib_integral_deep Ib_yield_wide Ib_yield_wide_err Ib_yield_deep Ib_yield_deep_err Ic_integral_wide Ic_integral_deep Ic_yield_wide Ic_yield_wide_err Ic_yield_deep Ic_yield_deep_err Ic-BL_integral_wide Ic-BL_integral_deep Ic-BL_yield_wide Ic-BL_yield_wide_err Ic-BL_yield_deep Ic-BL_yield_deep_err Ia_integral_wide Ia_integral_deep Ia_yield_wide Ia_yield_wide_err Ia_yield_deep Ia_yield_deep_err 
0.9 1.5142564327055745 1.656311644390102 0.0003677467164524988 0.00014094848634752614 0.000402245719741268 0.0001541711259429457 1.6171895359966746 1.6781000093777967 3.238420956546125e-05 1.2412089940176069e-05 3.360394138464474e-05 1.2879583859149054e-05 1.6079015085573407 1.6738017896628403 5.4120407093732595e-05 2.074305253887657e-05 5.633854671362828e-05 2.1593212194815075e-05 1.5650483732200904 1.669156849689797 7.268232045521775e-05 2.7857388235068146e-05 7.751721615451612e-05 2.97104876645835e-05 1.5911360885919013 1.672822945157996 7.321593321957839e-05 2.8061909194923035e-05 7.697474397004865e-05 2.950257110172765e-05 1.601496511727737 1.6773977410224663 5.117546307475367e-05 1.961432620827208e-05 5.3600869891850245e-05 2.0543926404147354e-05 1.5961288242688785 1.6766203442905607 7.4805778405249776e-06 2.8671258680375827e-06 7.85781749177943e-06 3.0117127683571993e-06 1.6423121697137042 1.6831281271653142 0.00021753991486044564 6.534684504589492e-05 0.00022294637781719196 6.697089319957522e-05 
1.0 5.99657849740347 6.80470097427288 0.001639109907419089 0.0006354544759857271 0.0018600027980596864 0.0007210908176585153 6.608614841809122 6.951420366074621 0.00014894913857146856 5.774499706886204e-05 0.00015667550616273052 6.07403757477142e-05 6.534153442222953 6.924510186683394 0.00024754041612760555 9.59671250253981e-05 0.0002623287237203763 0.00010170029533298088 6.201395965944774 6.897840542440375 0.0003241497245526815 0.00012566722489090312 0.00036055319223592347 0.0001397802177878482 6.338441090289251 6.906120915324018 0.00032827356410047544 0.00012726596594361193 0.0003576742127422368 0.00013866408738240455 6.510748996523062 6.956140503618527 0.00023416496216486672 9.078169356013013e-05 0.0002501838695844676 9.699194607224781e-05 6.441058385188306 6.94440358643264 3.397657654569405e-05 1.3172129304391218e-05 3.6631721979294385e-05 1.4201483127791059e-05 6.749037040667899 6.983768764703782 0.0009679512090758271 0.00029080712454196194 0.00100161658307213 0.0003009214056304085 
1.1 11.5722944455089 13.634248567043436 0.0034916890908882284 0.0013704854803543323 0.004113839066934534 0.001614678902672285 13.205273714207918 14.164729853261383 0.0003285386744249837 0.00012895119562886432 0.0003524093229943038 0.00013832040818454816 12.996840145336348 14.087701603346954 0.0005435082037168282 0.00021332658271068885 0.0005891263805134407 0.00023123168460052824 11.6915250231838 13.912973882735578 0.0006745884428395146 0.0002647754831720175 0.0008027636572825457 0.0003150841635164039 12.368354436301411 14.055406578569572 0.0007070936103329307 0.00027753373825333704 0.0008035416702781646 0.0003153895330628522 12.904062428185446 14.176962428236395 0.000512305423922515 0.00020107951387331952 0.000562840949286427 0.00022091467157222606 12.835641235436816 14.146919297686669 7.473972404310194e-05 2.933528843506063e-05 8.237506993028324e-05 3.233215625561542e-05 13.651884624785545 14.26250272077454 0.001948432362402386 0.0005856873757740874 0.002035581359921267 0.0006118838548734396 
1.2 17.467325751379555 21.567639824148355 0.0057062381163432655 0.002269756676769508 0.007045731567375064 0.0028025637805005363 20.652627621068333 22.641097938420085 0.000556316303529697 0.00022128460442541806 0.0006098793889115863 0.0002425902646861973 20.191860231269768 22.516144209372772 0.0009142227785441394 0.00036364820628710404 0.0010194589149005236 0.00040550773234652456 17.399430433658587 22.135660425375594 0.0010869514472230195 0.0004323540753745713 0.001382826192290487 0.0005500434644978417 18.68349813719673 22.36868804731396 0.0011564598612482863 0.0004600022708422029 0.0013845635161866003 0.0005507345156654438 19.849725241506547 22.55647158130234 0.0008532265838892151 0.0003393858959430927 0.0009695741859270212 0.0003856652031095913 19.618874481944964 22.494377988716646 0.00012368453168561705 4.9197700110426166e-05 0.00014181275330825454 5.6408519432544956e-05 21.70669231462383 22.893788006027165 0.0030836568008167993 0.0009283035581160069 0.0032522958384443826 0.0009790706274686917 
1.3 22.353646539926803 29.003382656822147 0.007758073602614924 0.0031303894948339767 0.010065936086737828 0.004061614028896751 27.87104694315583 31.125854771019945 0.0007975938582104475 0.000321829820491072 0.0008907376406616192 0.0003594134183053504 27.022752604655686 31.03096514301772 0.0012998323365068587 0.0005244834864514678 0.0014926329865804413 0.0006022787176521714 22.20010332778608 29.888158401213754 0.001473371124291032 0.0005945065393447392 0.001983610116420855 0.0008003884196454765 24.57548108234692 30.46489484192844 0.0016160561416503473 0.0006520800688432548 0.0020033374015776856 0.0008083483964876299 26.320139053744832 31.11956957871387 0.0012019325680399267 0.0004849808441135211 0.0014211028332207442 0.0005734162381101386 26.2806074345464 30.934030723253716 0.00017601867381651843 7.102368907973704e-05 0.00020718573865796704 8.359962704603772e-05 29.753944508104784 31.728828530005668 0.004208103564987509 0.0012697248174103346 0.004487411624150362 0.0013540013493313927 
1.4 26.551550351020516 35.78948894366903 0.009613799462559164 0.003938498455172204 0.01295867717791055 0.005308799111635507 34.357680887789336 38.96424143627992 0.0010257747819916309 0.0004202305664854387 0.0011633071625324416 0.0004765736460769852 32.898614913956635 39.26155995204325 0.0016509541927224537 0.0006763486759756659 0.0019702664438967458 0.0008071617653130561 26.170177085409367 37.6514347937912 0.001812022048133993 0.0007423335659441718 0.002606983887329772 0.0010680066765376371 29.34075608730433 38.33496971564809 0.0020129147162419167 0.0008246335417320856 0.002629960334277321 0.0010774194691760411 31.724861136751823 39.25397735919176 0.0015114413922812518 0.0006191942750383121 0.0018701448664064373 0.0007661448208874218 32.011032198317814 38.72047815383309 0.00022367769660600035 9.163434976671567e-05 0.00027056007789050544 0.00011084071942138964 37.26650322195165 40.14105441742672 0.005248221722282231 0.0015883244410494575 0.0056530432301133745 0.0017108398241973879 
1.5 29.327870556191762 42.109554712752235 0.01089202324164102 0.0045333484166008246 0.015638989122911916 0.006509074118254338 40.18801589884981 46.29586438831235 0.0012306869523171535 0.0005122218914562008 0.0014177290163401922 0.000590070315570364 37.48237024255455 46.363681612805344 0.0019293335230102203 0.0008030042607874135 0.00238648208762962 0.000993273201239698 28.862560551576887 44.002081358217275 0.0020498143441490427 0.0008531493557457455 0.0031250206432415495 0.0013006589382515458 33.19593490427845 45.70343138337596 0.00233594080258823 0.0009722375084733251 0.0032160718020012606 0.0013385551690284847 35.5096646592122 46.57184458059835 0.0017352458215738962 0.0007222233852358211 0.0022758198222102015 0.0009472146688084914 36.20851519839575 45.832699374413025 0.00025951147980712624 0.00010801078275115071 0.0003284893504480419 0.00013671993198019505 43.80602363807647 47.761884581576375 0.00614404639993629 0.0018661457222927623 0.006698878616376795 0.002034666221635247 
1.6 28.279777712438495 46.57189805453136 0.010607005264193446 0.004486825106533384 0.01746790136934564 0.0073890241845174145 43.20132851837739 51.67620619628892 0.0013360936426446036 0.0005651754054213998 0.001598197392135351 0.0006760468205324627 40.11722004290717 52.33523002099032 0.002085450371282799 0.0008821576732773064 0.00272059042879123 0.0011508256229212988 29.575214254795995 49.08143159201379 0.0021212718790838995 0.0008973103800548192 0.0035203484824944385 0.0014891279453139602 35.14050773638219 51.11019395530271 0.0024973172956437844 0.0010563797850558164 0.003632229002090866 0.0015364540577984935 37.852402583037005 52.686733524292165 0.001868085076753256 0.0007902108856126979 0.00260018635339445 0.0010998939966079889 37.873504165871026 51.17608943038321 0.000274138550156053 0.00011596220600182476 0.00037042621928139494 0.0001566924517705879 49.02234237348805 54.24367756904376 0.006848751025868731 0.0020887570765303807 0.007578206679058937 0.002311229123165025 
1.7 28.24866771840588 49.51013164325153 0.010553759729582547 0.004537503050076081 0.01849708590690185 0.007952671452698148 46.2531919322683 57.099983024185505 0.0014248657375934722 0.0006126094203335648 0.0017590096170545706 0.0007562718601718613 41.54015776213764 56.90162868138474 0.0021509465063042845 0.0009247819339252888 0.0029463624119117917 0.0012667645249877302 29.921587117632107 52.44625373313877 0.002137693814811478 0.0009190840471426506 0.003746927987964177 0.0016109611749210615 36.4804717860409 56.052415969044404 0.002582370658666314 0.0011102692348851553 0.003967824626687166 0.0017059338858448833 39.685455667489315 57.941429253199125 0.0019508640756216423 0.0008387581222457108 0.002848294190378645 0.0012246008917684824 38.54276179872502 55.735854773712944 0.0002778880639067301 0.00011947571006587623 0.000401847922941685 0.00017277124197773996 53.4285790238013 59.95421399186466 0.007436214386858526 0.002278251926583797 0.008344455285634489 0.0025565120021802303 
1.8 28.196061377921648 52.05169060519264 0.010367591832339384 0.00452954491212254 0.019139222146835527 0.00836182285135548 48.57882794126591 61.13342750518026 0.0014728532528986435 0.0006434816364163163 0.0018534940297594545 0.0008097815373053756 43.00455710214219 60.71430767716285 0.0021915740959367034 0.0009574868934196572 0.0030940884623451427 0.0013517905487517763 28.72528028959243 55.06241754002025 0.002019786015433288 0.0008824336082796729 0.0038716524191262985 0.0016915040445417853 36.38035204110048 59.78964171151271 0.0025345755476170436 0.0011073423762968959 0.004165472717569672 0.0018198725470267262 40.44142130862278 61.687500850852985 0.001956600957524357 0.0008548283975227416 0.002984509923896487 0.0013039162767574156 39.18561625221514 59.3356477209056 0.0002780570777163745 0.00012148163643183026 0.0004210396157480516 0.0001839499355447992 56.614453573861844 64.72251969529576 0.007851021585083653 0.0024171734677314208 0.008975409406819209 0.002763350125212939 
