#z IIP_integral_wide IIP_integral_deep IIP_yield_wide IIP_yield_wide_err IIP_yield_deep IIP_yield_deep_err IIn_integral_wide IIn_integral_deep IIn_yield_wide IIn_yield_wide_err IIn_yield_deep IIn_yield_deep_err IIL_integral_wide IIL_integral_deep IIL_yield_wide IIL_yield_wide_err IIL_yield_deep IIL_yield_deep_err IIb_integral_wide IIb_integral_deep IIb_yield_wide IIb_yield_wide_err IIb_yield_deep IIb_yield_deep_err Ib_integral_wide Ib_integral_deep Ib_yield_wide Ib_yield_wide_err Ib_yield_deep Ib_yield_deep_err Ic_integral_wide Ic_integral_deep Ic_yield_wide Ic_yield_wide_err Ic_yield_deep Ic_yield_deep_err Ic-BL_integral_wide Ic-BL_integral_deep Ic-BL_yield_wide Ic-BL_yield_wide_err Ic-BL_yield_deep Ic-BL_yield_deep_err Ia_integral_wide Ia_integral_deep Ia_yield_wide Ia_yield_wide_err Ia_yield_deep Ia_yield_deep_err 
0.5 0.05428693162265421 0.05450520502355511 6.780747947390583e-06 2.5012469336429397e-06 6.808011542345932e-06 2.511303786339904e-06 0.05448601011092033 0.05452640831625886 5.611646621750898e-07 2.069994934813006e-07 5.615807331115581e-07 2.0715297155806943e-07 0.054465939461299705 0.05451141651843616 9.428867664767261e-07 3.47807152208038e-07 9.436740422636928e-07 3.4809755839380985e-07 0.05434625259287091 0.05450551429594395 1.2980862540910764e-06 4.788312864363031e-07 1.3018902960939537e-06 4.802345016079874e-07 0.054462112414386775 0.054534506304506576 1.2889191844867896e-06 4.7544978561720284e-07 1.290632483322962e-06 4.760817783551189e-07 0.054489911568566855 0.05453157491797056 8.955396450570124e-07 3.3034199302696964e-07 8.962243806358164e-07 3.305945747156164e-07 0.05446471045092499 0.05454100787846258 1.312850682934858e-07 4.842775119351745e-08 1.3146898027799762e-07 4.849559168705731e-08 0.054495988720516274 0.05456598474988034 5.004044344184939e-06 1.5023405016498382e-06 5.010471665591126e-06 1.5042701458738862e-06 
0.6 1.0811998509686518 1.0978465308487664 0.00016410961401857926 6.105518417126232e-05 0.00016663632562270033 6.199521954493527e-05 1.0952640944600627 1.1021561610651942 1.370786755878112e-05 5.0998619636135494e-06 1.3794125783356646e-05 5.13195339115873e-06 1.0912323868758884 1.101293539797538 2.2956069424869694e-05 8.540554159276895e-06 2.3167724181218017e-05 8.619297992822858e-06 1.0847911953870575 1.0995601889972735 3.1486605348481936e-05 1.1714246602650448e-05 3.191528275218561e-05 1.1873731334789438e-05 1.0915054704859688 1.1007493819618028 3.1390834654690804e-05 1.1678616165137107e-05 3.1656682242766855e-05 1.1777521848076752e-05 1.0932383222432844 1.1014512497436129 2.1833798681710878e-05 8.123025623100926e-06 2.199782458711611e-05 8.184049664399571e-06 1.0922604736527501 1.1017672002214403 3.1994261799955407e-06 1.190311462434315e-06 3.2272730815392805e-06 1.2006715971072267e-06 1.098851696663196 1.1048684086114449 0.00011151677923385274 3.348435091724368e-05 0.00011212738423185569 3.3667692941335654e-05 
0.7 3.9816168934945364 4.133264401914231 0.0007204558222912148 0.0002705240014993493 0.000747895762722308 0.0002808274264376277 4.108698456361486 4.177349579338975 6.130207232916443e-05 2.3018318949728505e-05 6.232635195224762e-05 2.3402925769074475e-05 4.094576834583054 4.170336620729728 0.00010268550556883058 3.855738686949676e-05 0.00010458544108269179 3.9270793773706204e-05 4.045373950299123 4.153524623520077 0.00013997748971684634 5.2560156315495776e-05 0.00014371970488277357 5.396532092078504e-05 4.067300371903331 4.168534369678391 0.00013944502717288518 5.236022192176321e-05 0.000142915775895571 5.3663453575404006e-05 4.091111447184982 4.171252823372973 9.740373335920675e-05 3.657413389416311e-05 9.931178923547144e-05 3.729058991375625e-05 4.085144889785191 4.172032470528935 1.426504608301075e-05 5.356383040497978e-06 1.4568451562324357e-05 5.470308782786682e-06 4.137644184908058 4.194449415609998 0.00046127947501468117 0.00013852374779338477 0.0004676123267112707 0.00014042552404563044 
0.8 8.26483088045481 8.930394333847524 0.001749190126274555 0.0006633401186653858 0.0018900516923396145 0.0007167586273485993 8.79641529378778 9.076683097385766 0.00015350826853915148 5.8214479683665675e-05 0.00015839928650734382 6.0069285739726155e-05 8.750684679126689 9.06266574025638 0.00025668312406930264 9.734117030615326e-05 0.00026583443923578826 0.00010081159607479728 8.56357703787748 9.029168653629268 0.00034658510730874425 0.0001314344294290579 0.00036542853212919525 0.000138580364835795 8.647681383785539 9.049207476996402 0.0003467780705072829 0.0001315076062833598 0.0003628795476180224 0.00013761372109437459 8.74479913221142 9.07828700030684 0.00024352261120150304 9.235034853309845e-05 0.00025280948391461953 9.587218138306397e-05 8.69742911897732 9.068520604976818 3.55231748539661e-05 1.3471346921668193e-05 3.703883512134501e-05 1.4046126213248602e-05 8.933877237337947 9.125382682810082 0.0010882471163189476 0.00032685052707755397 0.0011115746417883399 0.0003338568530128586 
0.9 13.179461301210223 14.70137218735476 0.0032007152246155976 0.0012267572923314548 0.003570320873318685 0.0013684182627752921 14.417081462407381 15.089533273799287 0.00028870195917585223 0.00011065252884904489 0.00030216780216955446 0.00011581366313642865 14.249762313224736 15.040493281828118 0.0004796331947425055 0.00018383188693872846 0.0005062484331104535 0.00019403286873927002 13.73157363347841 14.949577918457832 0.0006377072122885389 0.0002444178623049112 0.0006942724784307972 0.0002660979706128969 13.99936919681942 15.027779102238835 0.0006441792676185361 0.0002468984457105781 0.0006915014240936464 0.0002650358920220237 14.210747103922436 15.095967276764716 0.00045410124739945763 0.00017404610457682888 0.00048238826016319106 0.00018488783736183496 14.123861309514735 15.056732226458815 6.619430858470969e-05 2.5370689070560407e-05 7.056639522537207e-05 2.7046404900537643e-05 14.717483143574128 15.180375506803276 0.0019494710500569973 0.0005856018777577254 0.0020107855596510978 0.0006040201517562285 
1.0 17.713046781133478 20.641778629977836 0.00484169939276294 0.0018770428612398956 0.005642241467163074 0.002187399135758098 20.059208748231097 21.310913241799454 0.0004521071260761161 0.00017527408966887294 0.0004803188331472463 0.00018621127908637563 19.712414060791595 21.21561908284137 0.0007467867448530472 0.0002895162657950715 0.0008037342897758241 0.0003115938410411129 18.39291331031194 21.05580510276355 0.0009614057570262978 0.0003727203336247082 0.0011005962950562755 0.0004266820905548956 18.858559864134993 21.09123736067578 0.0009767017744925133 0.0003786503342425236 0.001092334149840964 0.00042347900018581815 19.619170922466008 21.337130773656764 0.0007056211841707776 0.00027355709205473375 0.0007674091602960555 0.0002975112185066509 19.33696687522222 21.26317639290127 0.00010200248094449312 3.9544592332974234e-05 0.00011216323422550123 4.348374011225271e-05 20.60921265853865 21.47236715141528 0.0029557864611984936 0.0008880238523198737 0.0030795806306429226 0.0009252160435312126 
1.1 21.37521051222956 25.84979786233538 0.006449506596330748 0.0025314267438033256 0.007799616370166864 0.0030613438680843364 25.033970024364283 27.068788326516437 0.0006228289928250646 0.00024445993591981803 0.000673453956922968 0.0002643301982580913 24.48130430686648 26.899261528973973 0.0010237711304962507 0.0004018294392855396 0.001124886445584845 0.0004415171284134166 21.698345013174574 26.32010878323508 0.0012519712138156938 0.0004913978093964615 0.001518642021827032 0.0005960659115386622 23.035400225895113 26.77209585306912 0.0013169241223703926 0.0005168917797254043 0.001530549436501013 0.000600739563314198 24.310437948864728 27.12367327008321 0.0009651510358421647 0.0003788210939004741 0.001076839561982788 0.00042265876083288754 23.997824133239924 26.994587681595235 0.00013973518895195306 5.484596210268683e-05 0.00015718482598357583 6.169493220477826e-05 26.027487310769533 27.34174749758044 0.0037147104580894045 0.0011166202440183186 0.00390228507880882 0.0011730040782693154 
1.2 24.495823796573745 30.77328373239201 0.008002312742590138 0.0031830607848400286 0.01005303771729068 0.0039987727492975115 29.43580602934831 32.5645267962414 0.0007929072804740345 0.0003153928310072698 0.0008771850975029424 0.0003489158165547967 28.777083204625324 32.41864641094986 0.0013029341855777116 0.0005182650122216437 0.0014678125075648265 0.0005838482676965533 24.231164727047624 31.588627949815045 0.0015137334333090392 0.0006021141244109515 0.0019733579783979905 0.0007849378795281553 26.135100587104876 32.054052426541595 0.0016176946403040208 0.0006434665248700286 0.001984062339366895 0.0007891957275682037 28.264747034752666 32.54632138700523 0.0012149404217710207 0.00048326394341901457 0.0013989809066539672 0.0005564692865613819 27.85561899459967 32.38813597684369 0.00017561196965354563 6.985275281453069e-05 0.0002041866078582945 8.121881825539323e-05 31.1884401431947 33.03883757483502 0.004430635684168111 0.0013337978692179884 0.004693503492012214 0.001412931552730109 
1.3 26.186189670944504 34.59391330565595 0.009088198942233405 0.00366709623457807 0.012006189913953856 0.0048445081478673754 33.24001850142042 37.39212526569049 0.0009512392791561426 0.0003838258824381556 0.0010700613262995527 0.0004317706825502642 32.17037713736213 37.221313146546755 0.0015474403030859211 0.0006243935178740934 0.001790397415946213 0.0007224269257469835 26.195102200290616 35.745262812955346 0.001738510249700247 0.0007014904087128671 0.002372333014904692 0.0009572384497102936 28.777500901855298 36.679671395604906 0.0018923762638851423 0.0007635754802252106 0.002412014154838391 0.0009732498244347643 31.03816666234117 37.324859389363496 0.0014173854966169374 0.0005719162895340646 0.0017044729135351538 0.0006877563137530787 31.024282705405124 37.03351046601165 0.00020779021609431124 8.38435342211331e-05 0.00024803800350629287 0.00010008355169948136 35.65081524085291 38.152780381162536 0.0050420986255748056 0.001521368867912326 0.005395951823880781 0.001628138147867167 
1.4 27.002227762314178 37.22312913772107 0.009776980979163746 0.004005349251630229 0.01347777038131556 0.005521456738587589 35.9941795447724 41.19821942792233 0.0010746336982432514 0.0004402466659399587 0.0012300042802696725 0.0005038975460808861 34.37378789427044 41.24598110350196 0.0017249829329356705 0.0007066761318481941 0.002069850831528154 0.0008479586384299795 27.182037192844657 39.64882064513874 0.0018820832027955036 0.0007710356155840221 0.0027452828063420733 0.0011246637849996167 30.53806309114148 40.48016762828151 0.0020950556426963013 0.0008582843281050407 0.0027771310627596616 0.0011377111040319205 32.85528264702826 41.33246873809101 0.001565297131916865 0.0006412574300045751 0.0019691687168190957 0.0008067120579505963 33.01810756456519 40.62374732121988 0.00023071465489073496 9.451719015063196e-05 0.0002838592074138785 0.00011628899211388009 39.01760155204388 42.33546254575203 0.0054948279637937435 0.0016629574770443143 0.0059620805534715176 0.0018043670339572668 
