#z II_integral II_yield II_yield_err IIb_integral IIb_yield IIb_yield_err IIn_integral IIn_yield IIn_yield_err Ia_integral Ia_yield Ia_yield_err Ib_integral Ib_yield Ib_yield_err Ic_integral Ic_yield Ic_yield_err Ic-BL_integral Ic-BL_yield Ic-BL_yield_err 
1.4 0.14201560294618215 5.8547866947453036e-05 2.398538521884136e-05 0.03333298209985745 2.307974390004119e-06 9.455110443076076e-07 0.6466161644912626 1.93052190376161e-05 7.908795648642762e-06 0.29908248924987585 4.211962704112376e-05 1.274710494666614e-05 0.0664282842326078 4.557294655551668e-06 1.8669931727363961e-06 0.08948951624110861 4.263475210781819e-06 1.7466237564788234e-06 0.10896079913975813 7.613656573439366e-07 3.119097165432278e-07 
1.5 0.2715284406081605 0.00011481885064066252 4.778853691367557e-05 0.05807856119750152 4.124729946168009e-06 1.716746058609175e-06 1.1912297392328186 3.647930519824326e-05 1.5182982701222989e-05 0.4850747588852012 6.803452079220607e-05 2.066428566456299e-05 0.1078583002452395 7.589802943257203e-06 3.1589375446414714e-06 0.13841550218780402 6.763931006319113e-06 2.8152029459748173e-06 0.190296443617937 1.3638811593001244e-06 5.676584007190733e-07 
1.6 0.6163192270181233 0.00026320391840947455 0.00011133679298191561 0.11234435577621378 8.057859551879108e-06 3.408521598866218e-06 2.5187954693207097 7.789914637115498e-05 3.295179336768196e-05 1.0150323223736983 0.00014180684403416763 4.324876869636768e-05 0.22579352302814437 1.6046383692934675e-05 6.787713914461026e-06 0.2924161890779837 1.4431272039319305e-05 6.104512262647087e-06 0.4032428995492758 2.918779930133224e-06 1.2346609381986885e-06 
1.7 0.9374471585701718 0.0003987731148833846 0.00017144925329309812 0.11678145663122533 8.3432405020433e-06 3.5871083097925724e-06 4.2101403031253595 0.00012969666346852982 5.576202425980594e-05 1.3012045759593025 0.0001811022558485833 5.548475902266321e-05 0.22799963883676216 1.6139582321516608e-05 6.939081984741407e-06 0.34762333114038707 1.708852417499812e-05 7.3470718068374944e-06 0.5536008842358012 3.991386987281996e-06 1.7160643309000563e-06 
1.8 1.1574940339932327 0.00048459401488519467 0.00021171650949080448 0.10490749782464563 7.376453593634327e-06 3.2227327604018124e-06 6.547320042285828 0.00019850708694965424 8.672667483960794e-05 1.2592925498624674 0.00017463266651521369 5.3765926322474385e-05 0.18420826352369232 1.2833569061362611e-05 5.606917053287533e-06 0.2724757717591927 1.3182680990802692e-05 5.7594421709164945e-06 0.6672412647336765 4.734674963626123e-06 2.0685539360404706e-06 
1.9 1.9321197501051253 0.0007880351445024291 0.0003496972968936866 0.1372737421851804 9.403311449380977e-06 4.172799422257043e-06 10.496421416720029 0.00031003160341496817 0.00013757916055163403 1.9027256844988831 0.0002629365955089136 8.137622341439898e-05 0.24331709925584472 1.6514416578578695e-05 7.328412796806997e-06 0.35615019576630247 1.678654428560068e-05 7.449171780996151e-06 1.0212591893383505 7.059850626305006e-06 3.1328687530184778e-06 
2.0 1.8621310729053118 0.000733657364466835 0.00033047779431125417 0.10178872577911517 6.735417378634331e-06 3.0339855999051797e-06 12.183945843514172 0.00034763552863722465 0.00015659329312634498 1.4504374003121951 0.00019975677542866338 6.216182556339597e-05 0.19601502255513678 1.2851429845249905e-05 5.7889587083890055e-06 0.28268349627070305 1.2870637389933174e-05 5.797610794919446e-06 1.0867201250747602 7.256859795293071e-06 3.2688706403394726e-06 
2.1 2.068214358066515 0.0007817243945416148 0.0003571872372283755 0.0984693441901825 6.250877135093218e-06 2.856164589116082e-06 14.642229829821483 0.0004007914945861759 0.0001831305350779182 1.4556951729923184 0.00019982458838797046 6.253721792942627e-05 0.13971864127628067 8.788029948854124e-06 4.01544605749709e-06 0.23022304191377882 1.0055958456408566e-05 4.594790752096305e-06 1.3559595167772744 8.686660090742103e-06 3.969127917996663e-06 
2.2 1.9999810163643532 0.0007212235357334103 0.00033402568709948365 0.08181527171876028 4.955188675129806e-06 2.294933844934338e-06 15.438115130220906 0.00040317301253510734 0.00018672455328993425 1.3565680241651767 0.0001856270371145321 5.8435014517984293e-05 0.0899830386878039 5.399875302701249e-06 2.5008849113640506e-06 0.17940640765490684 7.476503380598502e-06 3.462649310614196e-06 1.364202474614741 8.338171790152625e-06 3.861720289711616e-06 
2.3 2.0060046090765447 0.0006872231735509628 0.00032236804817602205 0.056120568188578336 3.2290125256258023e-06 1.5146905772157064e-06 16.645103770230847 0.0004129576704904836 0.00019371343013284152 1.1176933613447255 0.0001524705377232922 4.8285919894057475e-05 0.07210999923301546 4.110933190345968e-06 1.9283888549715515e-06 0.14388667402413607 5.696433209542729e-06 2.672127666819988e-06 1.4351468391367355 8.333169130055023e-06 3.908988478511055e-06 
2.4 1.8116593132024348 0.0005876855884667132 0.0002790194157744099 0.03219472836044035 1.7540221613610718e-06 8.327688279632779e-07 17.441589933468236 0.0004097394146826241 0.0001945347211980678 0.9919892593312362 0.00013491919233766454 4.2989133384623155e-05 0.042364904846852236 2.2869349093904394e-06 1.085783376102587e-06 0.0629979001787634 2.3616261577360525e-06 1.121245039423662e-06 1.54625351049875 8.50153205990534e-06 4.036329212582963e-06 
2.5 1.6743436072284035 0.0005130587552287623 0.00024637935644327146 0.025992434116401408 1.3376770244035303e-06 6.423747788000246e-07 17.93226860786068 0.0003979338754772433 0.0001910944724125114 0.8219937567553001 0.00011147471458459593 3.5739499133929925e-05 0.026187031892257944 1.3353276771127044e-06 6.412465831154633e-07 0.045792536894519176 1.621562847405817e-06 7.787014775686392e-07 1.6399579790026524 8.517325082327373e-06 4.090161313914773e-06 
2.6 1.5490396150449377 0.0004476050162375919 0.00021727893246756188 0.0157384758881152 7.637951469718535e-07 3.707657156144513e-07 17.926397055112513 0.00037512723246990005 0.0001820963609739936 0.6450508149488322 8.723250272870091e-05 2.8142637431602794e-05 0.01946041234940901 9.357579327583037e-07 4.5424085365891613e-07 0.03175136551335608 1.0602576007741832e-06 5.146761793986464e-07 1.7290252751013548 8.468017574422438e-06 4.110592491015374e-06 
2.7 1.4241340853383362 0.0003876114252636103 0.00019009382138439392 0.005152575268848187 2.3553303846467825e-07 1.1551097936181381e-07 18.44448417440462 0.0003635510171704253 0.00017829402751766004 0.5098943066480919 6.876613965246373e-05 2.2325153665581447e-05 0.013578527009723297 6.15003246076166e-07 3.016121548298457e-07 0.019459101912888643 6.120473868606332e-07 3.0016253147735344e-07 1.7598495594332206 8.118377109316108e-06 3.981444373317786e-06 
2.8 1.1857655114841925 0.0003037807840591891 0.00015044178234810618 0.004495558008991352 1.9343136266249461e-07 9.57932841311605e-08 17.41066622511157 0.0003230204628868614 0.0001599698753892914 0.33926599577688166 4.563274854052634e-05 1.4908763129931348e-05 0.007240871381677791 3.086962658634599e-07 1.5287608327344088e-07 0.010234735997510142 3.0300841896025514e-07 1.5005928290046352e-07 1.7170765051367882 7.455883583123971e-06 3.69238764953153e-06 
2.9 0.8934925802390039 0.0002153920586326735 0.0001076676832683685 0.00353812384867229 1.4324964974634044e-07 7.16059729179546e-08 16.7235111302753 0.00029195731528699185 0.00014594023544670584 0.26195541333841116 3.51427361166205e-05 1.1554505622352465e-05 0.010671056933135626 4.280802902228367e-07 2.1398380884480783e-07 0.003035873246053938 8.45744024905754e-08 4.227607107602751e-08 1.5913359608871958 6.5020245076266255e-06 3.2501565737118564e-06 
3.0 0.7656118568333911 0.00017366484198557018 8.758834863244627e-05 0.0 0.0 0.0 16.18175327645499 0.00026581653418257447 0.0001340653122535098 0.2537258288349736 3.3952623317578694e-05 1.1234150204637763e-05 0.011849745058496074 4.4729219534981063e-07 2.255930693797352e-07 0.0026960831073526243 7.067292997422018e-08 3.5644089838130826e-08 1.491251580948567 5.733266905786218e-06 2.891589194481833e-06 
