#z II_integral II_yield II_yield_err IIb_integral IIb_yield IIb_yield_err IIn_integral IIn_yield IIn_yield_err Ia_integral Ia_yield Ia_yield_err Ib_integral Ib_yield Ib_yield_err Ic_integral Ic_yield Ic_yield_err Ic-BL_integral Ic-BL_yield Ic-BL_yield_err 
1.3 0.2216830671638837 8.760076096528285e-05 3.534698378895943e-05 0.07882913865836848 5.231713336514302e-06 2.1110009143361416e-06 0.8124638715871182 2.3250514963338952e-05 9.381603155477189e-06 0.5124107129718938 7.247030212775526e-05 2.186670069207504e-05 0.15474229216064117 1.0175680011362571e-05 4.105895798620017e-06 0.17859150741034846 8.15554008637734e-06 3.2907675692182015e-06 0.1892770982626078 1.2677143746772041e-06 5.11523860717427e-07 
1.4 0.35943437720934884 0.0001481817184634876 6.0705808512657746e-05 0.1159612638205144 8.029153417131643e-06 3.2893143291440894e-06 1.2809844265182746 3.824476760052369e-05 1.5667786570720304e-05 0.7294543301116524 0.00010272866326910287 3.1089853916404566e-05 0.21252561978682824 1.4580263247968821e-05 5.9731165083864865e-06 0.2445425352246254 1.1650538305547265e-05 4.7728920596922755e-06 0.27622970168082206 1.9301602967171986e-06 7.907314248087927e-07 
1.5 0.666387827041027 0.0002817895768502409 0.00011728310743451851 0.1782748226989261 1.2661048839234782e-05 5.269631218598386e-06 2.327040680272515 7.126150765767415e-05 2.9659617477627848e-05 1.2792066409694027 0.00017941607807541615 5.4494469087091196e-05 0.31026823105054885 2.183304138737897e-05 9.087088909676497e-06 0.43419551490235636 2.1217771561945116e-05 8.831008617977396e-06 0.45100506894118864 3.2324162479501075e-06 1.3453578599995385e-06 
1.6 0.8046807055512774 0.0003436451525199112 0.00014536390429349674 0.21138503975157283 1.5161517905532304e-05 6.413410524207047e-06 3.0206552865895704 9.34202364475046e-05 3.951730501783829e-05 1.427007248817906 0.000199362512807002 6.0802306558907686e-05 0.3398963796047485 2.415528864526967e-05 1.0217828015511783e-05 0.41426115559773774 2.0444543274447076e-05 8.648161075686295e-06 0.5517900844025185 3.994004174160992e-06 1.6894870661297197e-06 
1.7 0.8653590417072828 0.0003681081300416391 0.00015826509278393515 0.16438292730547457 1.1744041704072763e-05 5.049255091821072e-06 3.5893142497563053 0.00011057163154108333 4.7539372529319424e-05 1.3930197421478252 0.00019388113322502907 5.939985620624035e-05 0.25240937688549564 1.7867492851086572e-05 7.681983045507969e-06 0.3475499645124616 1.7084917606385963e-05 7.345521192033171e-06 0.5511653996594174 3.973827475144793e-06 1.7085147616544093e-06 
1.8 0.833101322151078 0.00034878444523344754 0.00015238204154668816 0.11211975954299792 7.883575724785498e-06 3.4442916822929543e-06 4.061399324551215 0.00012313687793616475 5.3797837334859225e-05 1.179732900297144 0.00016359971491701218 5.036909986047536e-05 0.18168024379770753 1.2657444955302949e-05 5.5299693819858695e-06 0.2869534249742617 1.388312596100135e-05 6.06546279772094e-06 0.46685005072523 3.312719646945977e-06 1.4473093332346893e-06 
1.9 0.7706968270156453 0.00031433672028444035 0.00013948959277355785 0.08566090337492568 5.8678093905471955e-06 2.6038903174265972e-06 4.464063553150479 0.000131854536530417 5.851157188804102e-05 0.9076155307705954 0.00012542288130970784 3.8817116312706e-05 0.11866484359534113 8.054019492911885e-06 3.5740396420754613e-06 0.20009883498970957 9.431324185642003e-06 4.185230312195666e-06 0.45976132775462597 3.1782786696903303e-06 1.4103881880386675e-06 
2.0 0.7398614597702243 0.00029149656355753715 0.00013130535593248302 0.05466144081315936 3.6169783595983024e-06 1.6292769462216995e-06 4.8161886143252355 0.00013741675286982642 6.189971993648247e-05 0.6685903568479653 9.207943323710636e-05 2.865397508834662e-05 0.07504099026070964 4.919949549184789e-06 2.2162035766094164e-06 0.1459840948178833 6.646685688715697e-06 2.9940161883105302e-06 0.46606441745511845 3.1122678737674623e-06 1.4019288458664992e-06 
2.1 0.6418930627449375 0.0002426167596592091 0.00011085698577794656 0.03893863241297394 2.4718414550619684e-06 1.1294392580877181e-06 4.860606040281479 0.00013304596240603877 6.0791655048796694e-05 0.4756646983788852 6.529492185432314e-05 2.0434736238568352e-05 0.05273040565148305 3.316639639832572e-06 1.5154463108811754e-06 0.08645834505364942 3.776431406874313e-06 1.7255353807845063e-06 0.45203106161357515 2.895838802051349e-06 1.3231730625087794e-06 
2.2 0.549354237073035 0.00019810548299712658 9.175008412475033e-05 0.027068811162449437 1.6394380132656872e-06 7.592852724657908e-07 4.8499782173617625 0.00012665926585789182 5.866065957300762e-05 0.36967312856507706 5.058450909501855e-05 1.59239007921498e-05 0.02490393679506884 1.494483351538027e-06 6.921513284346686e-07 0.058296952639467985 2.4294414518680767e-06 1.1251655139110144e-06 0.45264585618824443 2.7666266402750583e-06 1.2813286293075177e-06 
2.3 0.4912540714134803 0.00016829531719372097 7.894529027677073e-05 0.016227535491425128 9.336846908922285e-07 4.379801540444408e-07 4.7067886453372125 0.0001167733467631339 5.47769593980691e-05 0.3096732825595329 4.224419106648548e-05 1.3378319879263903e-05 0.018453788764248167 1.0520356888847097e-06 4.934971704823202e-07 0.035865810063296734 1.4199173962242265e-06 6.660660135001087e-07 0.4187286805959378 2.4313448769532408e-06 1.1405143664994049e-06 
2.4 0.4142843897343819 0.00013439003878894205 6.38052571726706e-05 0.008712064468144903 4.746477118008368e-07 2.253516673615541e-07 4.466499770474781 0.00010492741823511606 4.981709184168209e-05 0.253903412198299 3.4533078844690396e-05 1.1003231689385616e-05 0.008191743322097978 4.4220526022174767e-07 2.0994874773321324e-07 0.020911894500053808 7.839321139118192e-07 3.7219269065479735e-07 0.42927463931581994 2.360215892069721e-06 1.1205754781650076e-06 
2.5 0.3546386719006339 0.00010866973468039174 5.218501589253265e-05 0.007900805847405528 4.066078001397529e-07 1.952598354521376e-07 4.274287221254498 9.485044620127264e-05 4.5548763480328605e-05 0.194903391986915 2.643183091690907e-05 8.474212306201239e-06 0.007201202656306273 3.672033262504331e-07 1.763371510248784e-07 0.011361814717041596 4.023340455389448e-07 1.9320750733686342e-07 0.4183167651438618 2.1725799817655576e-06 1.0433090796594296e-06 
2.6 0.2843717051023206 8.217104355729687e-05 3.988792791901586e-05 0.005294076168949186 2.569238415643677e-07 1.2471740931281024e-07 4.151667809192393 8.687767266387487e-05 4.217264616546016e-05 0.14263017068310355 1.9288382349064782e-05 6.222748793303378e-06 0.004096852005357592 1.9699797180641732e-07 9.56278581776501e-08 0.003737427865036526 1.248020750346419e-07 6.058212184751236e-08 0.419262364195603 2.053365627112737e-06 9.967562365025419e-07 
2.7 0.25264314801724413 6.876274621485822e-05 3.372287900950796e-05 0.002341647367937732 1.070407108689324e-07 5.249529927797946e-08 4.129711993988358 8.139891481046724e-05 3.99199553066351e-05 0.10432280589315396 1.4069340538717973e-05 4.56765773224584e-06 0.0026647619661956247 1.2069330186235068e-07 5.9190853187341195e-08 0.002867860818756381 9.02028638247301e-08 4.423762037612168e-08 0.40610811197869184 1.873420817434651e-06 9.187699304916789e-07 
2.8 0.2178571960986706 5.581274645182909e-05 2.7640224446586814e-05 0.0014496524201552505 6.237451334334516e-08 3.088981743703788e-08 3.908111827685605 7.250728233316256e-05 3.5907882788573525e-05 0.08855244980511177 1.1910688736579836e-05 3.8913640481310755e-06 0.002655952834357972 1.1322984197045667e-07 5.60749729242613e-08 0.0014071330170675554 4.1659418559710746e-08 2.0631052089481495e-08 0.39817246188952937 1.7289430686244804e-06 8.562268927832896e-07 
2.9 0.18451153451730887 4.447974179094573e-05 2.2234017267895204e-05 0.0 0.0 0.0 3.58508494389718 6.258803950572106e-05 3.128578303521492e-05 0.0693370454459434 9.301939823114216e-06 3.05836505240484e-06 0.0013128651862370792 5.2666920762335726e-08 2.6326529303616793e-08 0.0008846666838586709 2.4645349171912208e-08 1.2319431206166452e-08 0.3715864906486563 1.5182617173771027e-06 7.589310522530573e-07 
3.0 0.1682489557258863 3.816415334948467e-05 1.9248197451010565e-05 0.0 0.0 0.0 3.3242678063499733 5.4607515754451294e-05 2.754145325655552e-05 0.06475763743888269 8.665620212945572e-06 2.8672564761195644e-06 0.0006672044369501758 2.518495848453763e-08 1.2702104230288919e-08 0.0 0.0 0.0 0.3318275478198481 1.2757444301474601e-06 6.434252704006822e-07 
