#z II_integral II_yield II_yield_err IIb_integral IIb_yield IIb_yield_err IIn_integral IIn_yield IIn_yield_err Ia_integral Ia_yield Ia_yield_err Ib_integral Ib_yield Ib_yield_err Ic_integral Ic_yield Ic_yield_err Ic-BL_integral Ic-BL_yield Ic-BL_yield_err 
1.4 0.13739577268058037 5.664327898599665e-05 2.320513004780841e-05 0.04255214470566922 2.9463088518819884e-06 1.2070184017036328e-06 0.5048227733463697 1.507186913939295e-05 6.174513370414651e-06 0.2785436007834507 3.922714636057711e-05 1.1871723150072036e-05 0.07996515540455791 5.485988078202753e-06 2.2474522851491935e-06 0.09686047654834881 4.614643793087098e-06 1.890487472827467e-06 0.10781988267273403 7.533934818207364e-07 3.0864374442629667e-07 
1.5 0.26488191142419215 0.00011200829112820928 4.6618759248601225e-05 0.08456115510503293 6.00551944732563e-06 2.499545903768867e-06 0.8179434710651179 2.504807304014363e-05 1.0425211160156225e-05 0.48781557796595026 6.841893640922446e-05 2.078104512772213e-05 0.15443292700317937 1.0867179264270752e-05 4.5230081517138575e-06 0.18010052359826817 8.800947123449944e-06 3.6630255758312443e-06 0.19780449264965208 1.417692394143888e-06 5.900550731152255e-07 
1.6 0.45954533243971624 0.00019625240765263547 8.30159133460585e-05 0.10862424592635296 7.791035976447765e-06 3.2956536698474806e-06 1.479919085442004 4.5769668422265076e-05 1.9360836756437943e-05 0.8293210542102474 0.00011586173050491947 3.533593330770979e-05 0.20630437672271074 1.4661355835312083e-05 6.201839050628597e-06 0.25186139374473276 1.2429818953570414e-05 5.257885931178994e-06 0.3038485023491904 2.1993367061122444e-06 9.303322573070503e-07 
1.7 0.606213382233939 0.0002578722400589839 0.00011087006960351501 0.11049167190108469 7.893878178405255e-06 3.3939086381739776e-06 2.146908467089765 6.613719375270605e-05 2.8435147858747657e-05 1.0128697139262708 0.0001409716761390286 4.318985118625242e-05 0.22078678409193142 1.5629000534978412e-05 6.7195615035960594e-06 0.28869185145100806 1.4191560924468574e-05 6.101546048998768e-06 0.3727527181694277 2.687496337418659e-06 1.1554671643626486e-06 
1.8 0.7777699423555984 0.0003256195262820072 0.00014226141349023508 0.11152160275733058 7.841516998167425e-06 3.4259164516469144e-06 2.922729748756673 8.861374800982331e-05 3.8714868209798626e-05 1.1848705813145612 0.00016431218394247741 5.0588454909531286e-05 0.20504604762653394 1.4285312518762865e-05 6.241175933991436e-06 0.2886986201321451 1.3967560444421777e-05 6.102351767789354e-06 0.438353960537202 3.110514339952051e-06 1.3589669260190065e-06 
1.9 0.8850819153956666 0.0003609898687994684 0.00016019232416961262 0.09705496804523733 6.648307809718982e-06 2.9502431283618308e-06 3.631525444551908 0.00010726395327680219 4.7599291448749326e-05 1.1689769929738092 0.00016154027522981127 4.9995085324967576e-05 0.16637372753463459 1.1292116553423464e-05 5.010972749741957e-06 0.2508537733502643 1.182357338452058e-05 5.246811238097311e-06 0.4656479322456327 3.218972108570982e-06 1.428446247602569e-06 
2.0 1.0081396943397227 0.00039719497833721573 0.00017891747116555143 0.08608507036022651 5.696297645020674e-06 2.5659115176126907e-06 4.4738521544090775 0.00012764911948215006 5.7499865053343546e-05 1.1235432195653086 0.0001547363371537419 4.8152024770267356e-05 0.13656250437261316 8.953514998793541e-06 4.0331332191892414e-06 0.21796853217113765 9.92415184119627e-06 4.4703590118964515e-06 0.5178047466458501 3.457777546438352e-06 1.557564541857173e-06 
2.1 1.0273233238317019 0.00038829809888351474 0.00017742202511482428 0.06698684479763023 4.252354272704625e-06 1.942995107980842e-06 5.016404140321472 0.00013731051460160257 6.274022365863627e-05 0.9450019650576306 0.00012972127145637017 4.059764360629433e-05 0.09331875781980063 5.869567804403602e-06 2.6819358874030072e-06 0.16053025261782172 7.011833124532149e-06 3.203862280806331e-06 0.5371465782421947 3.4411128697890006e-06 1.5723208940814343e-06 
2.2 1.055654137970048 0.00038068491834107463 0.0001763094728848263 0.05358970589684143 3.245691155025224e-06 1.5032013855004795e-06 5.4644895640313 0.00014270749381732525 6.609319623506732e-05 0.8136001458842351 0.00011132960661473806 3.504633419753271e-05 0.06055800631860909 3.63408134987783e-06 1.6830794611187684e-06 0.11739095745850786 4.892098904173247e-06 2.265714604229327e-06 0.5658225280839452 3.4583762525682e-06 1.6017038362980266e-06 
2.3 1.064421237744575 0.00036465267212651675 0.00017105414179820105 0.04125519615871684 2.3737027161951966e-06 1.1134751286340632e-06 5.868725400210454 0.00014560048429098068 6.829941966572271e-05 0.7459060631996395 0.00010175304111163645 3.222418747554954e-05 0.04125136346523456 2.351707128275979e-06 1.10315726535631e-06 0.08472367032901781 3.354186428797501e-06 1.5734081356465881e-06 0.5914366338841827 3.434172284999021e-06 1.6109285298034653e-06 
