#z II_integral II_yield II_yield_err IIb_integral IIb_yield IIb_yield_err IIn_integral IIn_yield IIn_yield_err Ia_integral Ia_yield Ia_yield_err Ib_integral Ib_yield Ib_yield_err Ic_integral Ic_yield Ic_yield_err Ic-BL_integral Ic-BL_yield Ic-BL_yield_err 
0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.9 8.131825711547456e-05 2.248574490641104e-08 8.61824611115082e-09 0.0 0.0 0.0 0.0025507087342029043 5.1077925221653866e-08 1.957694229118744e-08 0.0005245124950561468 6.947668392279222e-08 2.087011067149602e-08 0.00012976539006194626 5.971138610397523e-09 2.2885940546950125e-09 0.00021178828091182491 6.767647178810236e-09 2.5938766637787796e-09 0.00018863082199704315 8.840561774313207e-10 3.388375054906025e-10 
1.0 0.0003495427065640115 1.0878640824300282e-07 4.217460325968967e-08 0.0 0.0 0.0 0.020309363672204064 4.577452758740825e-07 1.774599025354654e-07 0.0006936305121034001 9.948093169391289e-08 2.988762596854801e-08 0.00016758136579591448 8.6791896371699e-09 3.3647712565856726e-09 0.0006798276825832932 2.4450615997600142e-08 9.47907965534044e-09 0.0012638316517183852 6.6667106999411674e-09 2.58456808491268e-09 
1.1 6.255477672338366e-05 2.1490494567702228e-08 8.435003805902247e-09 0.0 0.0 0.0 0.005936651951708909 1.47700063243553e-07 5.797216958718781e-08 7.022045744228227e-05 1.0022045713369156e-08 3.012568343154478e-09 2.3612744242566084e-05 1.3499306364749533e-09 5.298468129943899e-10 0.0001266919336756007 5.029808647505796e-09 1.9741963104205874e-09 0.00019344779999552376 1.1264131587360143e-09 4.421163622374715e-10 
1.2 0.0 0.0 0.0 0.0 0.0 0.0 0.001562966745107626 4.210136831649989e-08 1.674656049908158e-08 0.0 0.0 0.0 0.0 0.0 0.0 1.7736840023649023e-05 7.624056876476424e-10 3.0326028543902164e-10 4.853837684520537e-05 3.060036096568196e-10 1.217183233459644e-10 
1.3 0.8504133322905377 0.0003360511743037177 0.00013559694321698678 0.3588948970730662 2.3819050307798326e-05 9.611007665011304e-06 1.7523301035410677 5.014694033533056e-05 2.0234334354713238e-05 1.538599426002237 0.0002176042819426552 6.565844991463868e-05 0.6068455820272696 3.9905486553140285e-05 1.6101898781945513e-05 0.6761123047902666 3.0875269964211533e-05 1.2458198477719206e-05 0.6714468058305811 4.4971249844581894e-06 1.8145938707720309e-06 
1.4 1.2531593774082783 0.0005166320247237693 0.00021164935249496123 0.4416444153572345 3.0579442219698604e-05 1.2527522173865967e-05 2.7690630265298486 8.267248978871644e-05 3.3868552655603696e-05 2.3320744270095344 0.0003284247945914298 9.939464372884271e-05 0.7543711088902645 5.17534279646594e-05 2.1201898051076875e-05 0.898243483711221 4.279427341780489e-05 1.753158887936438e-05 0.8715463807110398 6.0899469193931855e-06 2.494876934714633e-06 
1.5 1.270241929632163 0.0005371360660020635 0.00022356038729336975 0.3858661835293783 2.7404153436322666e-05 1.1405830930831015e-05 3.320653951512454 0.00010168915782189029 4.232385226969856e-05 2.5109291588793257 0.00035217223518315647 0.00010696610465118604 0.694899390292395 4.889887403859433e-05 2.035210798568097e-05 0.8543936146715312 4.1751533394263376e-05 1.737732683859237e-05 0.8262344585414378 5.921737630744608e-06 2.464675232167151e-06 
