#z II_integral II_yield II_yield_err IIb_integral IIb_yield IIb_yield_err IIn_integral IIn_yield IIn_yield_err Ia_integral Ia_yield Ia_yield_err Ib_integral Ib_yield Ib_yield_err Ic_integral Ic_yield Ic_yield_err Ic-BL_integral Ic-BL_yield Ic-BL_yield_err 
0.7 3.848463708963428 0.0007928757252579661 0.00029771695536632664 3.1410464295653466 0.00010868606949478918 4.08105389910807e-05 6.143133241415608 9.165598359010401e-05 3.441591097605317e-05 6.315882112787307 0.0007041172839046048 0.00021144874275938735 4.094298409758757 0.00014037063919514228 5.2707780037541295e-05 4.534140593694691 0.00010795164763973344 4.05347708830704e-05 4.107807415716698 1.4344182070960339e-05 5.386097817532666e-06 
0.8 7.223945618347777 0.0017407938954966484 0.0006601560412818594 5.860569604505495 0.00023718898496315045 8.994846647498329e-05 12.189358847024009 0.0002127193076628047 8.066890423626572e-05 12.404572518877492 0.0015110169878336163 0.00045382771200636756 7.877956005872501 0.0003159115446112599 0.00011980218636181929 8.235397175212071 0.00022933693433870397 8.69707568968483e-05 7.633279143558796 3.11768346733771e-05 1.1823097387300818e-05 
0.9 11.273381175862495 0.0031172627444931047 0.0011947719605012199 7.316831562012971 0.0003398005489203441 0.00013023739135565451 23.703438059429185 0.00047466118748128194 0.000181926235939751 23.249217692442645 0.00307958068548418 0.0009250756671012025 11.485535392090098 0.0005285055114314958 0.00020256347243882594 13.414135942256163 0.00042864571578246483 0.00016428961052788695 12.194794690230276 5.715335099676201e-05 2.1905507112047912e-05 
1.0 14.177275690058554 0.0044123217908134775 0.0017105806137653332 8.328229535781933 0.00043532026093159507 0.0001687661132692603 34.65659690290425 0.0007811122872297829 0.00030282368309833194 34.670655215500524 0.004972487546456515 0.0014939129076416654 13.5701797824667 0.0007028118143275618 0.00027246794810319614 15.382096131978296 0.0005532309663119543 0.00021447804824167597 14.53938665671807 7.669525008582607e-05 2.9733417956470175e-05 
1.1 14.180203323921718 0.004871563747229198 0.0019120852998110983 6.83582172101578 0.0003944195749625836 0.00015480940214990387 42.464729741677765 0.0010564950277505722 0.00041467354564217 38.09892553266998 0.005437577412999773 0.0016345039771673564 12.399222358200712 0.0007088583164182601 0.0002782263841344803 14.518928081966095 0.0005764173606046393 0.000226243403341467 14.262327490552204 8.304707192292772e-05 3.259591655892873e-05 
1.2 13.34117172400964 0.00496234878927767 0.001973861599757418 5.437825689896298 0.00033970379236928044 0.00013512316435687166 47.51643438565748 0.0012799420790105237 0.0005091194970275962 38.427837745508576 0.005459065871809016 0.001643396331085757 10.497223266570336 0.0006497507732870221 0.00025844980981085515 11.845271976265256 0.0005091607475963421 0.00020252765181596409 13.060413321833433 8.233760335324896e-05 3.2751231397963255e-05 
1.3 12.347072033046567 0.004879095727182614 0.0019687194000729447 3.864494784621487 0.00025647786145698134 0.00010348904177601545 50.35626288804306 0.0014410598239761026 0.0005814689013625231 32.53818810433717 0.004601879435608887 0.0013885400955288068 8.033102888319597 0.0005282478587368622 0.0002131484737526916 9.625667706353596 0.0004395646801778759 0.0001773647335164601 10.881221287122788 7.287876222928258e-05 2.9406644402310547e-05 
1.4 10.718888698574556 0.0044190078859611135 0.0018103410415447416 2.718564645655815 0.00018823331080752818 7.711379946238783e-05 51.509866630483174 0.001537866376542319 0.0006300198347034039 24.106978514021563 0.0033949728940855855 0.0010274562908580117 5.528789366662777 0.0003793011143285709 0.00015538880945520646 6.801123442822967 0.0003240203145787348 0.00013274184815095476 8.98150786777468 6.275845713022904e-05 2.5710343493123074e-05 
1.5 9.461528469419296 0.00400091357549667 0.0016652126808813096 1.8880003695720162 0.00013408547839654426 5.580746365415917e-05 50.96640481590517 0.0015607560614915496 0.0006495993318314708 19.335902849027104 0.002711971423624502 0.0008237134848508885 3.8811620520511894 0.00027311069337212574 0.00011367088573791396 5.025911203621579 0.0002456005005787419 0.00010222092036660612 7.5061534157024 5.3797648699346545e-05 2.2391017732650925e-05 
1.6 7.9186372881994895 0.003381715629417145 0.0014304854396976635 1.2481561517892759 8.952356262530919e-05 3.786898925840162e-05 49.32957827355712 0.0015256228960089059 0.0006453473852815551 13.763989004207124 0.001922921860698151 0.0005864597251348839 2.4155246660798504 0.00017166318631218596 7.261452926898322e-05 3.123874047229922 0.00015416887941221933 6.521433539096697e-05 5.963943220607336 4.316861573066739e-05 1.8260576293715888e-05 
1.7 6.5273002867826735 0.002776595825528546 0.0011937747636843951 0.8315770766319676 5.941052412315504e-05 2.5543071030867365e-05 46.85559585683963 0.0014434232614411338 0.0006205880765867098 9.328056927393746 0.001298283285692848 0.00039775835431915513 1.5205623266809687 0.00010763719175903953 4.627773404195024e-05 2.2882319946663645 0.00011248528006041361 4.8362130126206484e-05 4.812330130952619 3.469624491244115e-05 1.4917367947566087e-05 
